date,code,peak_ccu,plays,unique_players,minutes_played,avg_minutes,favorites,recommendations,d1,d7
2026-09-21,9697-3257-3440,141,2735,2099,66496,31.68,45,18,0.2,0.07
2026-09-22,9697-3257-3440,125,2534,1964,63763,32.47,59,22,0.15,0.07
2026-09-23,9697-3257-3440,107,2390,1904,60946,32.01,50,21,0.22,0.09
2026-09-24,9697-3257-3440,101,2103,1686,51823,30.74,43,10,0.26,0.08
2026-09-19,1596-1780-8043,941,37984,27170,822889,30.29,1319,310,0.22,0
2026-09-20,1596-1780-8043,948,37322,26883,817512,30.41,1117,262,0.24,0.09
2026-09-21,1596-1780-8043,736,23344,18224,521753,28.63,808,161,0.19,0.03
2026-09-22,1596-1780-8043,705,25577,20013,591063,29.53,1027,159,0.12,0.02
2026-09-23,1596-1780-8043,641,23837,18008,535060,29.71,887,154,0.17,0.02
2026-09-24,1596-1780-8043,510,17424,14143,383388,27.11,605,105,0.18,0.02
2026-09-19,2312-3096-3140,48,1364,1082,32236,29.79,43,11,0.23,0.06
2026-09-20,2312-3096-3140,55,1209,984,29873,30.36,35,8,0.22,0.06
2026-09-21,2312-3096-3140,35,724,614,17864,29.09,15,7,0.18,0.07
2026-09-22,2312-3096-3140,139,829,724,19449,26.86,28,3,0.13,0.06
2026-09-23,2312-3096-3140,154,863,766,20877,27.25,25,3,0.18,0.06
2026-09-24,2312-3096-3140,154,976,897,26335,29.36,24,5,0.17,0.06
2026-09-19,8079-0164-7528,432,7227,4629,204575,44.19,436,79,0.25,0.05
2026-09-20,8079-0164-7528,235,6627,4533,180051,39.72,420,80,0.26,0.06
2026-09-21,8079-0164-7528,151,4141,2891,109759,37.97,286,40,0.21,0.07
2026-09-22,8079-0164-7528,109,3857,2566,108017,42.1,251,38,0.16,0.06
2026-09-23,8079-0164-7528,294,4437,2805,118687,42.31,234,31,0.21,0.06
2026-09-24,8079-0164-7528,92,2517,1687,71195,42.2,133,31,0.26,0.08
2026-09-19,2911-9500-1274,455,22147,14147,463247,32.75,510,109,0.25,0.05
2026-09-20,2911-9500-1274,791,23794,15426,541194,35.08,663,103,0.24,0.06
2026-09-21,2911-9500-1274,728,22800,14728,409253,27.79,852,96,0.22,0.08
2026-09-22,2911-9500-1274,752,32215,19416,691663,35.62,1273,165,0.18,0.08
2026-09-23,2911-9500-1274,698,27658,17251,630272,36.54,867,133,0.25,0.08
2026-09-24,2911-9500-1274,658,24959,16013,574485,35.88,868,164,0.26,0.08
2026-09-19,0342-9116-8723,168,1960,1527,60748,39.78,58,16,0.21,0.05
2026-09-20,0342-9116-8723,73,1562,1228,46977,38.25,42,17,0.24,0.05
2026-09-21,0342-9116-8723,40,685,550,20348,37,18,5,0.18,0.08
2026-09-22,0342-9116-8723,104,834,667,24393,36.57,26,5,0.14,0.08
2026-09-23,0342-9116-8723,51,994,833,26513,31.83,33,10,0.24,0.04
2026-09-24,0342-9116-8723,43,713,578,21307,36.86,20,2,0.21,0.07
2026-09-19,8057-5274-9116,55,1248,967,33848,35,21,5,0.3,0.08
2026-09-20,8057-5274-9116,48,1275,976,33859,34.69,21,6,0.27,0.09
2026-09-21,8057-5274-9116,28,704,530,16787,31.67,10,1,0.24,0.1
2026-09-22,8057-5274-9116,38,707,545,17625,32.34,16,7,0.16,0.09
2026-09-23,8057-5274-9116,30,712,573,18989,33.14,11,3,0.29,0.11
2026-09-24,8057-5274-9116,29,655,494,17286,34.99,10,5,0.25,0.1
2026-09-19,7114-0727-8746,170,5910,3828,133673,34.92,116,67,0.3,0.13
2026-09-20,7114-0727-8746,165,5369,3490,124179,35.58,83,53,0.34,0.13
2026-09-21,7114-0727-8746,121,3181,2219,76464,34.46,64,29,0.27,0.14
2026-09-22,7114-0727-8746,115,2802,2001,65826,32.9,50,22,0.19,0.13
2026-09-23,7114-0727-8746,133,2594,1992,64493,32.38,39,18,0.26,0.13
2026-09-24,7114-0727-8746,195,3956,2917,88044,30.18,83,24,0.27,0.13
2026-09-19,6020-0463-4029,141,3518,2299,107224,46.64,44,27,0.35,0.15
2026-09-20,6020-0463-4029,128,3397,2225,103217,46.39,41,15,0.41,0.19
2026-09-21,6020-0463-4029,113,1878,1314,55892,42.54,19,11,0.35,0.18
2026-09-22,6020-0463-4029,84,1702,1168,46378,39.71,17,5,0.25,0.18
2026-09-23,6020-0463-4029,71,1662,1094,46175,42.21,18,3,0.36,0.15
2026-09-24,6020-0463-4029,68,1391,997,38835,38.95,17,4,0.37,0.18
2026-09-19,2891-2163-4404,96,3030,2417,67427,27.9,55,20,0.19,0.04
2026-09-20,2891-2163-4404,91,2688,2143,58999,27.53,62,13,0.2,0.05
2026-09-21,2891-2163-4404,61,1580,1360,35356,26,38,16,0.17,0.05
2026-09-22,2891-2163-4404,64,1528,1272,33997,26.73,28,6,0.11,0.04
2026-09-23,2891-2163-4404,62,1658,1361,37368,27.46,37,4,0.14,0.03
2026-09-24,2891-2163-4404,62,1381,1160,31496,27.15,33,9,0.16,0.04
2026-09-19,7433-9605-1878,76,2682,1996,56519,28.32,109,21,0.18,0.04
2026-09-20,7433-9605-1878,101,2768,2048,61612,30.08,97,24,0.18,0.05
2026-09-21,7433-9605-1878,63,1488,1162,32685,28.13,76,15,0.16,0.05
2026-09-22,7433-9605-1878,65,1393,1092,26206,24,59,16,0.12,0.05
2026-09-23,7433-9605-1878,57,1355,1083,26128,24.13,59,14,0.18,0.05
2026-09-24,7433-9605-1878,51,1185,924,22256,24.09,39,10,0.16,0.05
2026-09-19,9651-4466-9042,118,4248,3001,109709,36.56,155,24,0.19,0.02
2026-09-20,9651-4466-9042,138,3615,2544,96657,37.99,148,17,0.19,0.03
2026-09-21,9651-4466-9042,84,2359,1722,64017,37.18,98,10,0.15,0.03
2026-09-22,9651-4466-9042,80,2240,1704,63210,37.1,84,5,0.12,0.02
2026-09-23,9651-4466-9042,68,2029,1503,56216,37.4,84,11,0.18,0.02
2026-09-24,9651-4466-9042,49,1484,1099,42206,38.4,50,7,0.18,0.02
2026-09-19,1631-0751-4517,97,2615,2117,67712,31.98,72,19,0.14,0.03
2026-09-20,1631-0751-4517,98,2786,2268,72964,32.17,68,20,0.17,0.05
2026-09-21,1631-0751-4517,60,1519,1261,37326,29.6,41,7,0.15,0.05
2026-09-22,1631-0751-4517,66,1446,1244,35145,28.25,38,7,0.08,0.04
2026-09-23,1631-0751-4517,61,1391,1133,34709,30.63,41,7,0.14,0.04
2026-09-24,1631-0751-4517,55,1209,983,29347,29.85,30,10,0.14,0.04
2026-09-19,4771-7215-5767,36,835,584,28502,48.8,8,6,0.34,0.21
2026-09-20,4771-7215-5767,48,964,686,30941,45.1,14,7,0.35,0.23
2026-09-21,4771-7215-5767,28,626,469,20332,43.35,7,7,0.34,0.23
2026-09-22,4771-7215-5767,35,615,439,19592,44.63,9,6,0.22,0.22
2026-09-23,4771-7215-5767,35,566,428,19887,46.46,5,4,0.31,0.23
2026-09-24,4771-7215-5767,29,600,434,20333,46.85,8,6,0.32,0.23
2026-09-19,3729-8899-3878,374,6304,4885,137461,28.14,313,46,0.09,
2026-09-20,3729-8899-3878,199,4103,3127,91611,29.3,179,20,0.14,
2026-09-21,3729-8899-3878,248,4883,4128,104922,25.42,257,32,0.12,
2026-09-22,3729-8899-3878,228,3872,3208,88681,27.64,211,32,0.12,0
2026-09-23,3729-8899-3878,135,5104,4135,111275,26.91,292,34,0.14,
2026-09-24,3729-8899-3878,131,4020,3199,88700,27.73,203,37,0.15,0.02
2026-09-19,8464-5780-9092,82,2251,1826,55600,30.45,51,11,0.25,0.06
2026-09-20,8464-5780-9092,68,2102,1757,52395,29.82,62,11,0.27,0.06
2026-09-21,8464-5780-9092,59,1257,1027,29421,28.65,39,6,0.18,0.08
2026-09-22,8464-5780-9092,51,1094,931,25365,27.24,25,3,0.13,0.09
2026-09-23,8464-5780-9092,44,1293,992,30003,30.24,44,9,0.17,0.07
2026-09-24,8464-5780-9092,59,1071,884,25214,28.52,26,4,0.24,0.09
2026-09-19,5177-3498-9905,118,3670,2713,95161,35.08,72,18,0.23,0.06
2026-09-20,5177-3498-9905,148,3734,2820,106805,37.87,82,19,0.24,0.08
2026-09-21,5177-3498-9905,84,2021,1600,55104,34.44,45,15,0.21,0.07
2026-09-22,5177-3498-9905,74,1832,1451,48368,33.33,34,9,0.15,0.07
